Departure (Local),Arrival (Local),Duration,Origin,Destination,Train type,Train number,CO2,CO2 temp
2021-01-04 19:28,2021-01-04 20:26,0:58,Basel SBB,Bern,IC,1085,,
2021-01-04 20:34,2021-01-04 21:40,1:06,Bern,Lausanne,IC,732,,
2021-01-16 20:01,2021-01-16 20:14,0:13,Renens VD,Eclépens,S1,24178,,
2021-01-16 20:42,2021-01-16 20:57,0:15,Eclépens,Renens VD,S1,24181,,
2021-02-17 14:20,2021-02-17 15:27,1:07,Lausanne,Bern,IC,723,,
2021-02-17 15:36,2021-02-17 16:32,0:56,Bern,Basel SBB,IC,1074,,
2021-02-21 19:03,2021-02-21 20:10,1:07,Basel SBB,Biel/Bienne,IC,1634,,
2021-02-21 20:16,2021-02-21 20:52,0:36,Biel/Bienne,Yverdon-les-Bains,IC,30534,,
2021-02-21 20:57,2021-02-21 21:20,0:23,Yverdon-les-Bains,Renens VD,S5,24583,,
2021-03-04 19:02,2021-03-04 19:08,0:06,Renens VD,Lausanne,RE,18481,,
2021-03-04 19:20,2021-03-04 20:27,1:07,Lausanne,Bern,IC,733,,
2021-03-04 20:36,2021-03-04 21:32,0:56,Bern,Basel SBB,IC,1084,,
2021-03-06 19:03,2021-03-06 20:10,1:07,Basel SBB,Biel/Bienne,IC,1634,,
2021-03-06 20:16,2021-03-06 20:52,0:36,Biel/Bienne,Yverdon-les-Bains,IC,534,,
2021-03-06 20:57,2021-03-06 21:20,0:23,Yverdon-les-Bains,Renens VD,S5,24583,,
2021-04-02 19:02,2021-04-02 19:08,0:06,Renens VD,Lausanne,RE,18481,,
2021-04-02 19:20,2021-04-02 20:26,1:06,Lausanne,Bern,IC,733,,
2021-04-02 20:36,2021-04-02 21:32,0:56,Bern,Basel SBB,IC,1084,,
2021-04-06 19:03,2021-04-06 20:10,1:07,Basel SBB,Biel/Bienne,IC,1634,,
2021-04-06 20:16,2021-04-06 20:52,0:36,Biel/Bienne,Yverdon-les-Bains,IC,534,,
2021-04-06 20:57,2021-04-06 21:20,0:23,Yverdon-les-Bains,Renens VD,S5,24583,,
2021-06-04 19:02,2021-06-04 19:09,0:07,Renens VD,Lausanne,RE,18481,,
2021-06-04 19:20,2021-06-04 20:26,1:06,Lausanne,Bern,IC,733,,
2021-06-04 20:36,2021-06-04 21:32,0:56,Bern,Basel SBB,IC,1084,,
2021-06-07 19:03,2021-06-07 20:10,1:07,Basel SBB,Biel/Bienne,IC,1634,,
2021-06-07 20:16,2021-06-07 20:52,0:36,Biel/Bienne,Yverdon-les-Bains,IC,534,,
2021-06-07 20:57,2021-06-07 21:20,0:23,Yverdon-les-Bains,Renens VD,S5,24583,,
2021-07-14 19:02,2021-07-14 19:08,0:06,Renens VD,Lausanne,RE,18481,,
2021-07-14 19:20,2021-07-14 20:27,1:07,Lausanne,Bern,IC,733,,
2021-07-14 20:36,2021-07-14 21:32,0:56,Bern,Basel SBB,IC,1084,,
2021-08-01 10:30,2021-08-01 11:41,1:11,St-Louis,Strasbourg,TER,96220,,
2021-08-01 17:51,2021-08-01 18:59,1:08,Strasbourg,St-Louis,TER,86223,,
2021-08-16 07:30,2021-08-16 07:44,0:14,St-Louis,Mulhouse,TER,96210,,
2021-08-16 07:57,2021-08-16 12:54,4:57,Mulhouse,Montpellier St-Roch,TGV InOui,2203,,
2021-08-16 13:07,2021-08-16 15:15,2:08,Montpellier St-Roch,Toulouse Matabiau,Intercités,4760,,
2021-10-08 17:43,2021-10-08 21:52,4:09,Toulouse Matabiau,Lyon Part-Dieu,TGV InOui,6875,,
2021-10-08 22:15,2021-10-08 23:03,0:48,Lyon Part-Dieu,Mâcon Ville,TER,86038,,
2021-10-10 10:22,2021-10-10 12:54,2:32,Mâcon Ville,Montpellier St-Roch,TGV InOui,2203,,
2021-10-10 13:07,2021-10-10 15:15,2:08,Montpellier St-Roch,Toulouse Matabiau,Intercités,4760,,
2021-10-29 10:46,2021-10-29 12:51,2:05,Toulouse Matabiau,Montpellier St-Roch,Intercités,4657,,
2021-10-29 13:55,2021-10-29 19:10,5:15,Montpellier St-Roch,Mulhouse,TGV InOui,5500,,
2021-10-29 19:17,2021-10-29 19:30,0:13,Mulhouse,St-Louis,TER,96281,,
2021-11-01 07:16,2021-11-01 07:39,0:23,St-Louis,Mulhouse,TER,96104,,
2021-11-01 07:57,2021-11-01 12:54,4:57,Mulhouse,Montpellier St-Roch,TGV InOui,2203,,
2021-11-01 13:07,2021-11-01 15:15,2:08,Montpellier St-Roch,Toulouse Matabiau,Intercités,4760,,
2021-12-22 10:46,2021-12-22 12:51,2:05,Toulouse Matabiau,Montpellier St-Roch,Intercités,4657,,
2021-12-22 13:58,2021-12-22 19:08,5:10,Montpellier St-Roch,Mulhouse,TGV InOui,5500,,
2021-12-22 19:16,2021-12-22 19:29,0:13,Mulhouse,St-Louis,TER,96281,,
2021-12-29 07:16,2021-12-29 07:39,0:23,St-Louis,Mulhouse,TER,96104,,
